,total_loss,stdloss1,stdloss2
0,1.8736925460569085,0.038874106563414224,7.585954557617042
1,0.826585641120423,0.03381437131227743,6.933847762345778
2,0.6373912298293772,0.027204860887868353,6.873553232784213
3,0.5378538157404197,0.023116033416984785,6.838372453179896
4,0.4753413625394867,0.02002402666831998,6.803432344977561
5,0.43100166662716044,0.01724998287283039,6.76810708619528
6,0.39970692156447957,0.014988519304078945,6.738529076630513
7,0.37414571414911224,0.013256885609890853,6.71617690631048
8,0.35463210823461183,0.011932019915519315,6.698862174326324
9,0.33868932155980264,0.010856526350115062,6.684709576072589
10,0.3245269719409474,0.010018714102661695,6.672681196893616
11,0.31339980124898176,0.009314635759813191,6.662564910053097
12,0.3025339698461266,0.00870269158782007,6.6535086929008385
13,0.29368805537196613,0.008199222326487272,6.6451408767106885
14,0.2857532555345154,0.007729666279274773,6.637659516375545
15,0.2778512390778534,0.007351225301150156,6.631630254848019
16,0.2709910470126663,0.0070334862079764705,6.626226529655758
17,0.265912466365729,0.00673810327656652,6.621295725588859
18,0.25945165848024326,0.0064854555506846,6.617030944821777
19,0.25481164930022127,0.0062574352718081485,6.612883130663954
